path,group,width,height,mode,has_alpha,trimmed_bbox
01_xenoverse_party_hud_clean/xenoverse_party_hud_png_elements/00_full_transparent_asset_sheet.png,01_xenoverse_party_hud_clean,1536,1024,RGBA,True,"0,4,1536,1024"
01_xenoverse_party_hud_clean/xenoverse_party_hud_png_elements/01_player1_full_hud.png,01_xenoverse_party_hud_clean,765,295,RGBA,True,"0,0,765,295"
01_xenoverse_party_hud_clean/xenoverse_party_hud_png_elements/02_player2_full_hud.png,01_xenoverse_party_hud_clean,761,295,RGBA,True,"0,0,761,295"
01_xenoverse_party_hud_clean/xenoverse_party_hud_png_elements/03_player1_nameplate_frame.png,01_xenoverse_party_hud_clean,745,140,RGBA,True,"0,0,742,140"
01_xenoverse_party_hud_clean/xenoverse_party_hud_png_elements/04_player2_nameplate_frame.png,01_xenoverse_party_hud_clean,745,140,RGBA,True,"0,0,745,140"
01_xenoverse_party_hud_clean/xenoverse_party_hud_png_elements/05_hp_bar_with_label.png,01_xenoverse_party_hud_clean,511,75,RGBA,True,"6,0,505,75"
01_xenoverse_party_hud_clean/xenoverse_party_hud_png_elements/06_ki_bar_with_label.png,01_xenoverse_party_hud_clean,497,70,RGBA,True,"6,0,491,70"
01_xenoverse_party_hud_clean/xenoverse_party_hud_png_elements/07_stm_bar_with_label.png,01_xenoverse_party_hud_clean,495,72,RGBA,True,"6,0,489,72"
01_xenoverse_party_hud_clean/xenoverse_party_hud_png_elements/08_hp_fill_bar.png,01_xenoverse_party_hud_clean,501,75,RGBA,True,"6,0,495,75"
01_xenoverse_party_hud_clean/xenoverse_party_hud_png_elements/09_ki_segment_bar.png,01_xenoverse_party_hud_clean,487,75,RGBA,True,"6,0,487,75"
01_xenoverse_party_hud_clean/xenoverse_party_hud_png_elements/10_stm_segment_bar.png,01_xenoverse_party_hud_clean,465,75,RGBA,True,"6,0,459,75"
01_xenoverse_party_hud_clean/xenoverse_party_hud_png_elements/11_level_label_plate.png,01_xenoverse_party_hud_clean,229,99,RGBA,True,"6,6,229,99"
01_xenoverse_party_hud_clean/xenoverse_party_hud_png_elements/12_level_number_45_plate.png,01_xenoverse_party_hud_clean,195,100,RGBA,True,"2,0,193,100"
01_xenoverse_party_hud_clean/xenoverse_party_hud_png_elements/13_hp_label.png,01_xenoverse_party_hud_clean,158,80,RGBA,True,"6,0,158,80"
01_xenoverse_party_hud_clean/xenoverse_party_hud_png_elements/14_ki_label.png,01_xenoverse_party_hud_clean,155,80,RGBA,True,"0,0,155,79"
01_xenoverse_party_hud_clean/xenoverse_party_hud_png_elements/15_stm_label.png,01_xenoverse_party_hud_clean,161,80,RGBA,True,"0,0,155,80"
01_xenoverse_party_hud_clean/xenoverse_party_hud_png_elements/16_ability_icon_purple.png,01_xenoverse_party_hud_clean,135,155,RGBA,True,"0,0,135,155"
01_xenoverse_party_hud_clean/xenoverse_party_hud_png_elements/17_ability_icon_blue.png,01_xenoverse_party_hud_clean,140,153,RGBA,True,"0,6,140,153"
01_xenoverse_party_hud_clean/xenoverse_party_hud_png_elements/18_ability_icon_green.png,01_xenoverse_party_hud_clean,140,150,RGBA,True,"0,6,140,150"
01_xenoverse_party_hud_clean/xenoverse_party_hud_png_elements/19_ability_icon_orange.png,01_xenoverse_party_hud_clean,145,155,RGBA,True,"0,3,143,154"
01_xenoverse_party_hud_clean/xenoverse_party_hud_png_elements/20_portrait_ring_p1.png,01_xenoverse_party_hud_clean,250,235,RGBA,True,"0,0,250,235"
01_xenoverse_party_hud_clean/xenoverse_party_hud_png_elements/21_portrait_ring_p2.png,01_xenoverse_party_hud_clean,250,235,RGBA,True,"0,0,250,235"
01_xenoverse_party_hud_clean/xenoverse_party_hud_png_elements/22_energy_orb_orange.png,01_xenoverse_party_hud_clean,240,225,RGBA,True,"0,0,240,225"
01_xenoverse_party_hud_clean/xenoverse_party_hud_png_elements/23_energy_orb_blue.png,01_xenoverse_party_hud_clean,246,240,RGBA,True,"0,0,246,240"
01_xenoverse_party_hud_clean/xenoverse_party_hud_png_elements/24_corner_bracket_orange.png,01_xenoverse_party_hud_clean,230,180,RGBA,True,"0,0,230,178"
01_xenoverse_party_hud_clean/xenoverse_party_hud_png_elements/25_corner_bracket_blue.png,01_xenoverse_party_hud_clean,190,175,RGBA,True,"0,0,190,175"
01_xenoverse_party_hud_clean/xenoverse_party_hud_png_elements/26_corner_chevron_orange.png,01_xenoverse_party_hud_clean,190,143,RGBA,True,"0,0,190,137"
01_xenoverse_party_hud_clean/xenoverse_party_hud_png_elements/27_empty_plate_blue.png,01_xenoverse_party_hud_clean,350,95,RGBA,True,"0,0,350,95"
01_xenoverse_party_hud_clean/xenoverse_party_hud_png_elements/28_empty_plate_orange.png,01_xenoverse_party_hud_clean,355,100,RGBA,True,"0,0,355,100"
01_xenoverse_party_hud_clean/xenoverse_party_hud_png_elements/29_empty_plate_center.png,01_xenoverse_party_hud_clean,310,120,RGBA,True,"0,0,310,120"
01_xenoverse_party_hud_clean/xenoverse_party_hud_png_elements/30_p1_badge.png,01_xenoverse_party_hud_clean,190,170,RGBA,True,"0,0,190,170"
01_xenoverse_party_hud_clean/xenoverse_party_hud_png_elements/31_p2_badge.png,01_xenoverse_party_hud_clean,190,165,RGBA,True,"0,0,190,165"
01_xenoverse_party_hud_clean/xenoverse_party_hud_png_elements/32_arrow_orange.png,01_xenoverse_party_hud_clean,115,140,RGBA,True,"0,0,115,139"
01_xenoverse_party_hud_clean/xenoverse_party_hud_png_elements/33_arrow_blue.png,01_xenoverse_party_hud_clean,110,120,RGBA,True,"0,0,110,120"
01_xenoverse_party_hud_clean/xenoverse_party_hud_png_elements/34_energy_streak_orange.png,01_xenoverse_party_hud_clean,85,139,RGBA,True,"0,0,85,139"
01_xenoverse_party_hud_clean/xenoverse_party_hud_png_elements/35_energy_streak_blue.png,01_xenoverse_party_hud_clean,76,214,RGBA,True,"0,0,70,214"
02_xenoverse_party_hud_example/example_hud_elements_bundle/01_split_hud_elements/example_00_full_transparent_asset_sheet.png,02_xenoverse_party_hud_example,1536,1024,RGBA,True,"0,4,1536,1024"
02_xenoverse_party_hud_example/example_hud_elements_bundle/01_split_hud_elements/example_01_player1_full_hud.png,02_xenoverse_party_hud_example,765,295,RGBA,True,"0,0,765,295"
02_xenoverse_party_hud_example/example_hud_elements_bundle/01_split_hud_elements/example_02_player2_full_hud.png,02_xenoverse_party_hud_example,761,295,RGBA,True,"0,0,761,295"
02_xenoverse_party_hud_example/example_hud_elements_bundle/01_split_hud_elements/example_03_player1_nameplate_frame.png,02_xenoverse_party_hud_example,745,140,RGBA,True,"0,0,742,140"
02_xenoverse_party_hud_example/example_hud_elements_bundle/01_split_hud_elements/example_04_player2_nameplate_frame.png,02_xenoverse_party_hud_example,745,140,RGBA,True,"0,0,745,140"
02_xenoverse_party_hud_example/example_hud_elements_bundle/01_split_hud_elements/example_05_hp_bar_with_label.png,02_xenoverse_party_hud_example,511,75,RGBA,True,"6,0,505,75"
02_xenoverse_party_hud_example/example_hud_elements_bundle/01_split_hud_elements/example_06_ki_bar_with_label.png,02_xenoverse_party_hud_example,497,70,RGBA,True,"6,0,491,70"
02_xenoverse_party_hud_example/example_hud_elements_bundle/01_split_hud_elements/example_07_stm_bar_with_label.png,02_xenoverse_party_hud_example,495,72,RGBA,True,"6,0,489,72"
02_xenoverse_party_hud_example/example_hud_elements_bundle/01_split_hud_elements/example_08_hp_fill_bar.png,02_xenoverse_party_hud_example,501,75,RGBA,True,"6,0,495,75"
02_xenoverse_party_hud_example/example_hud_elements_bundle/01_split_hud_elements/example_09_ki_segment_bar.png,02_xenoverse_party_hud_example,487,75,RGBA,True,"6,0,487,75"
02_xenoverse_party_hud_example/example_hud_elements_bundle/01_split_hud_elements/example_10_stm_segment_bar.png,02_xenoverse_party_hud_example,465,75,RGBA,True,"6,0,459,75"
02_xenoverse_party_hud_example/example_hud_elements_bundle/01_split_hud_elements/example_11_level_label_plate.png,02_xenoverse_party_hud_example,229,99,RGBA,True,"6,6,229,99"
02_xenoverse_party_hud_example/example_hud_elements_bundle/01_split_hud_elements/example_12_level_number_45_plate.png,02_xenoverse_party_hud_example,195,100,RGBA,True,"2,0,193,100"
02_xenoverse_party_hud_example/example_hud_elements_bundle/01_split_hud_elements/example_13_hp_label.png,02_xenoverse_party_hud_example,158,80,RGBA,True,"6,0,158,80"
02_xenoverse_party_hud_example/example_hud_elements_bundle/01_split_hud_elements/example_14_ki_label.png,02_xenoverse_party_hud_example,155,80,RGBA,True,"0,0,155,79"
02_xenoverse_party_hud_example/example_hud_elements_bundle/01_split_hud_elements/example_15_stm_label.png,02_xenoverse_party_hud_example,161,80,RGBA,True,"0,0,155,80"
02_xenoverse_party_hud_example/example_hud_elements_bundle/01_split_hud_elements/example_16_ability_icon_purple.png,02_xenoverse_party_hud_example,135,155,RGBA,True,"0,0,135,155"
02_xenoverse_party_hud_example/example_hud_elements_bundle/01_split_hud_elements/example_17_ability_icon_blue.png,02_xenoverse_party_hud_example,140,153,RGBA,True,"0,6,140,153"
02_xenoverse_party_hud_example/example_hud_elements_bundle/01_split_hud_elements/example_18_ability_icon_green.png,02_xenoverse_party_hud_example,140,150,RGBA,True,"0,6,140,150"
02_xenoverse_party_hud_example/example_hud_elements_bundle/01_split_hud_elements/example_19_ability_icon_orange.png,02_xenoverse_party_hud_example,145,155,RGBA,True,"0,3,143,154"
02_xenoverse_party_hud_example/example_hud_elements_bundle/01_split_hud_elements/example_20_portrait_ring_p1.png,02_xenoverse_party_hud_example,250,235,RGBA,True,"0,0,250,235"
02_xenoverse_party_hud_example/example_hud_elements_bundle/01_split_hud_elements/example_21_portrait_ring_p2.png,02_xenoverse_party_hud_example,250,235,RGBA,True,"0,0,250,235"
02_xenoverse_party_hud_example/example_hud_elements_bundle/01_split_hud_elements/example_22_energy_orb_orange.png,02_xenoverse_party_hud_example,240,225,RGBA,True,"0,0,240,225"
02_xenoverse_party_hud_example/example_hud_elements_bundle/01_split_hud_elements/example_23_energy_orb_blue.png,02_xenoverse_party_hud_example,246,240,RGBA,True,"0,0,246,240"
02_xenoverse_party_hud_example/example_hud_elements_bundle/01_split_hud_elements/example_24_corner_bracket_orange.png,02_xenoverse_party_hud_example,230,180,RGBA,True,"0,0,230,178"
02_xenoverse_party_hud_example/example_hud_elements_bundle/01_split_hud_elements/example_25_corner_bracket_blue.png,02_xenoverse_party_hud_example,190,175,RGBA,True,"0,0,190,175"
02_xenoverse_party_hud_example/example_hud_elements_bundle/01_split_hud_elements/example_26_corner_chevron_orange.png,02_xenoverse_party_hud_example,190,143,RGBA,True,"0,0,190,137"
02_xenoverse_party_hud_example/example_hud_elements_bundle/01_split_hud_elements/example_27_empty_plate_blue.png,02_xenoverse_party_hud_example,350,95,RGBA,True,"0,0,350,95"
02_xenoverse_party_hud_example/example_hud_elements_bundle/01_split_hud_elements/example_28_empty_plate_orange.png,02_xenoverse_party_hud_example,355,100,RGBA,True,"0,0,355,100"
02_xenoverse_party_hud_example/example_hud_elements_bundle/01_split_hud_elements/example_29_empty_plate_center.png,02_xenoverse_party_hud_example,310,120,RGBA,True,"0,0,310,120"
02_xenoverse_party_hud_example/example_hud_elements_bundle/01_split_hud_elements/example_30_p1_badge.png,02_xenoverse_party_hud_example,190,170,RGBA,True,"0,0,190,170"
02_xenoverse_party_hud_example/example_hud_elements_bundle/01_split_hud_elements/example_31_p2_badge.png,02_xenoverse_party_hud_example,190,165,RGBA,True,"0,0,190,165"
02_xenoverse_party_hud_example/example_hud_elements_bundle/01_split_hud_elements/example_32_arrow_orange.png,02_xenoverse_party_hud_example,115,140,RGBA,True,"0,0,115,139"
02_xenoverse_party_hud_example/example_hud_elements_bundle/01_split_hud_elements/example_33_arrow_blue.png,02_xenoverse_party_hud_example,110,120,RGBA,True,"0,0,110,120"
02_xenoverse_party_hud_example/example_hud_elements_bundle/01_split_hud_elements/example_34_energy_streak_orange.png,02_xenoverse_party_hud_example,85,139,RGBA,True,"0,0,85,139"
02_xenoverse_party_hud_example/example_hud_elements_bundle/01_split_hud_elements/example_35_energy_streak_blue.png,02_xenoverse_party_hud_example,76,214,RGBA,True,"0,0,70,214"
02_xenoverse_party_hud_example/example_hud_elements_bundle/02_action_buttons_with_text/example_back_with_text.png,02_xenoverse_party_hud_example,1536,1024,RGBA,True,"0,31,1518,982"
02_xenoverse_party_hud_example/example_hud_elements_bundle/02_action_buttons_with_text/example_charge_with_text.png,02_xenoverse_party_hud_example,1536,1024,RGBA,True,"0,21,1521,982"
02_xenoverse_party_hud_example/example_hud_elements_bundle/02_action_buttons_with_text/example_chase_with_text.png,02_xenoverse_party_hud_example,1536,1024,RGBA,True,"17,21,1522,982"
02_xenoverse_party_hud_example/example_hud_elements_bundle/02_action_buttons_with_text/example_combo_with_text.png,02_xenoverse_party_hud_example,1536,1024,RGBA,True,"31,110,1508,952"
02_xenoverse_party_hud_example/example_hud_elements_bundle/02_action_buttons_with_text/example_ki_cancel_with_text.png,02_xenoverse_party_hud_example,1536,1024,RGBA,True,"32,38,1504,982"
02_xenoverse_party_hud_example/example_hud_elements_bundle/02_action_buttons_with_text/example_vanish_with_text.png,02_xenoverse_party_hud_example,1536,1024,RGBA,True,"0,21,1526,984"
02_xenoverse_party_hud_example/example_hud_elements_bundle/02_action_buttons_with_text/example_z_burst_with_text.png,02_xenoverse_party_hud_example,1536,1024,RGBA,True,"0,34,1504,982"
02_xenoverse_party_hud_example/example_hud_elements_bundle/03_blank_action_elements/example_blank_button_style_01.png,02_xenoverse_party_hud_example,1536,1024,RGBA,True,"18,32,1517,982"
02_xenoverse_party_hud_example/example_hud_elements_bundle/03_blank_action_elements/example_blank_button_style_02.png,02_xenoverse_party_hud_example,1536,1024,RGBA,True,"0,35,1536,982"
02_xenoverse_party_hud_example/example_hud_elements_bundle/03_blank_action_elements/example_blank_button_style_03.png,02_xenoverse_party_hud_example,1536,1024,RGBA,True,"9,35,1536,952"
02_xenoverse_party_hud_example/example_hud_elements_bundle/04_menus/example_ki_alt_menu_with_text.png,02_xenoverse_party_hud_example,1254,1254,RGBA,True,"0,4,1238,1212"
02_xenoverse_party_hud_example/example_hud_elements_bundle/04_menus/example_ki_ctrl_menu_with_text.png,02_xenoverse_party_hud_example,1536,1024,RGBA,True,"65,61,1470,1002"
02_xenoverse_party_hud_example/example_hud_elements_bundle/04_menus/example_ki_menu_blank_style_01.png,02_xenoverse_party_hud_example,1536,1024,RGBA,True,"0,16,1518,994"
02_xenoverse_party_hud_example/example_hud_elements_bundle/04_menus/example_ki_menu_blank_style_02.png,02_xenoverse_party_hud_example,1536,1024,RGBA,True,"26,46,1516,1004"
02_xenoverse_party_hud_example/example_hud_elements_bundle/05_sheets_and_examples/example_hud_asset_sheet.png,02_xenoverse_party_hud_example,1254,1254,RGBA,True,"0,13,1254,1254"
02_xenoverse_party_hud_example/example_hud_elements_bundle/05_sheets_and_examples/example_party_hud_battle_scene.png,02_xenoverse_party_hud_example,1672,941,RGB,False,
02_xenoverse_party_hud_example/example_hud_elements_bundle/05_sheets_and_examples/example_party_hud_concept_scene.png,02_xenoverse_party_hud_example,1672,941,RGB,False,
02_xenoverse_party_hud_example/example_hud_elements_bundle/05_sheets_and_examples/example_party_hud_sprite_sheet.png,02_xenoverse_party_hud_example,1536,1024,RGBA,True,"0,5,1536,1024"
02_xenoverse_party_hud_example/example_hud_elements_bundle/05_sheets_and_examples/example_separate_elements_sheet.png,02_xenoverse_party_hud_example,1536,1024,RGBA,True,"12,0,1523,1024"
02_xenoverse_party_hud_example/example_hud_elements_bundle/05_sheets_and_examples/example_transparent_asset_sheet.png,02_xenoverse_party_hud_example,1536,1024,RGBA,True,"0,4,1536,1024"
03_dragonmine_other_menus_clean_and_example/dragonmine_other_menus_single_elements/00_original_asset_sheets/neon_anime_combat_ui_asset_sheet.png,03_dragonmine_other_menus_clean_and_example,1448,1086,RGB,False,
03_dragonmine_other_menus_clean_and_example/dragonmine_other_menus_single_elements/00_original_asset_sheets/neon_anime_quest_tree_ui_sheet.png,03_dragonmine_other_menus_clean_and_example,1448,1086,RGB,False,
03_dragonmine_other_menus_clean_and_example/dragonmine_other_menus_single_elements/00_original_asset_sheets/neon_dragonmine_server_ui_asset_sheet.png,03_dragonmine_other_menus_clean_and_example,1448,1086,RGB,False,
03_dragonmine_other_menus_clean_and_example/dragonmine_other_menus_single_elements/00_original_asset_sheets/neon_sci_fi_options_ui_asset_sheet.png,03_dragonmine_other_menus_clean_and_example,1448,1086,RGB,False,
03_dragonmine_other_menus_clean_and_example/dragonmine_other_menus_single_elements/00_original_asset_sheets/neon_skills_ui_asset_sheet.png,03_dragonmine_other_menus_clean_and_example,1448,1086,RGB,False,
03_dragonmine_other_menus_clean_and_example/dragonmine_other_menus_single_elements/CONTACT_SHEET.jpg,03_dragonmine_other_menus_clean_and_example,880,2880,RGB,False,
