class,path,width,height,alpha_bbox,pair_key,source
reference,_OUR_STYLE_UI_ELEMENTS/reference/master_previous/07_latest_generated_full_sheets/cyber_neon_quest_tree_ui_kit.png,1448,1086,"0,0,1448,1086",cyber_neon_quest_tree_ui_kit,master_previous:dragonmine_complete_ui_elements_master_bundle/07_latest_generated_full_sheets/cyber_neon_quest_tree_ui_kit.png
reference,_OUR_STYLE_UI_ELEMENTS/reference/master_previous/07_latest_generated_full_sheets/neon_minigames_saga_hud_asset_sheet.png,1448,1086,"0,12,1436,1086",neon_minigames_saga_hud_asset_sheet,master_previous:dragonmine_complete_ui_elements_master_bundle/07_latest_generated_full_sheets/neon_minigames_saga_hud_asset_sheet.png
reference,_OUR_STYLE_UI_ELEMENTS/reference/master_previous/07_latest_generated_full_sheets/neon_sci_fi_hud_asset_sheet.png,1448,1086,"0,13,1429,1072",neon_sci_fi_hud_asset_sheet,master_previous:dragonmine_complete_ui_elements_master_bundle/07_latest_generated_full_sheets/neon_sci_fi_hud_asset_sheet.png
reference,_OUR_STYLE_UI_ELEMENTS/reference/master_previous/07_latest_generated_full_sheets/neon_sci_fi_skills_ui_sprite_sheet.png,1448,1086,"0,21,1436,1086",neon_sci_fi_skills_ui_sprite_sheet,master_previous:dragonmine_complete_ui_elements_master_bundle/07_latest_generated_full_sheets/neon_sci_fi_skills_ui_sprite_sheet.png
reference,_OUR_STYLE_UI_ELEMENTS/reference/master_previous/07_latest_generated_full_sheets/neon_sci_fi_hud_ui_asset_sheet.png,1448,1086,"0,0,1448,1062",neon_sci_fi_hud_ui_asset_sheet,master_previous:dragonmine_complete_ui_elements_master_bundle/07_latest_generated_full_sheets/neon_sci_fi_hud_ui_asset_sheet.png
reference,_OUR_STYLE_UI_ELEMENTS/reference/master_previous/07_latest_generated_full_sheets/neon_sci_fi_options_ui_sprite_sheet.png,1448,1086,"0,13,1436,1074",neon_sci_fi_options_ui_sprite_sheet,master_previous:dragonmine_complete_ui_elements_master_bundle/07_latest_generated_full_sheets/neon_sci_fi_options_ui_sprite_sheet.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/04_dragonmine_status_redesign_v3/dragonmine_redesign_single_elements_v3/10_overlays/clean_character_scan_ring.png,640,640,"73,69,571,572",character_scan_ring,master_previous:dragonmine_complete_ui_elements_master_bundle/04_dragonmine_status_redesign_v3/dragonmine_redesign_single_elements_v3/10_overlays/clean_character_scan_ring.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/04_dragonmine_status_redesign_v3/dragonmine_redesign_single_elements_v3/10_overlays/clean_blue_orange_divider.png,700,80,"41,18,660,63",blue_orange_divider,master_previous:dragonmine_complete_ui_elements_master_bundle/04_dragonmine_status_redesign_v3/dragonmine_redesign_single_elements_v3/10_overlays/clean_blue_orange_divider.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/04_dragonmine_status_redesign_v3/dragonmine_redesign_single_elements_v3/02_headers/clean_statistics_header.png,870,230,"0,0,870,230",statistics_header,master_previous:dragonmine_complete_ui_elements_master_bundle/04_dragonmine_status_redesign_v3/dragonmine_redesign_single_elements_v3/02_headers/clean_statistics_header.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/04_dragonmine_status_redesign_v3/dragonmine_redesign_single_elements_v3/02_headers/clean_information_stats_header.png,810,135,"0,0,810,135",information_stats_header,master_previous:dragonmine_complete_ui_elements_master_bundle/04_dragonmine_status_redesign_v3/dragonmine_redesign_single_elements_v3/02_headers/clean_information_stats_header.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/04_dragonmine_status_redesign_v3/dragonmine_redesign_single_elements_v3/02_headers/clean_information_header.png,960,285,"0,5,960,285",information_header,master_previous:dragonmine_complete_ui_elements_master_bundle/04_dragonmine_status_redesign_v3/dragonmine_redesign_single_elements_v3/02_headers/clean_information_header.png
example,_OUR_STYLE_UI_ELEMENTS/example/master_previous/04_dragonmine_status_redesign_v3/dragonmine_redesign_single_elements_v3/02_headers/example_information_header.png,925,255,"0,0,914,255",information_header,master_previous:dragonmine_complete_ui_elements_master_bundle/04_dragonmine_status_redesign_v3/dragonmine_redesign_single_elements_v3/02_headers/example_information_header.png
example,_OUR_STYLE_UI_ELEMENTS/example/master_previous/04_dragonmine_status_redesign_v3/dragonmine_redesign_single_elements_v3/02_headers/example_information_stats_header.png,795,130,"0,0,795,130",information_stats_header,master_previous:dragonmine_complete_ui_elements_master_bundle/04_dragonmine_status_redesign_v3/dragonmine_redesign_single_elements_v3/02_headers/example_information_stats_header.png
example,_OUR_STYLE_UI_ELEMENTS/example/master_previous/04_dragonmine_status_redesign_v3/dragonmine_redesign_single_elements_v3/02_headers/example_statistics_header.png,840,205,"0,0,840,205",statistics_header,master_previous:dragonmine_complete_ui_elements_master_bundle/04_dragonmine_status_redesign_v3/dragonmine_redesign_single_elements_v3/02_headers/example_statistics_header.png
